PointID,Year,Site_ID_OriginalStudy,Easting,Northing,OriginalClass,ConvertedClass
556,2020,Pil08_12,845807.5,828358.2,Woodland,Woodland
557,2020,Pil08_15,846216.5,828287.4,Woodland,Woodland
558,2020,Pil08_17,845949.9,829163.5,Woodland,Woodland
559,2020,Pil08_25,846200.8,828960.5,Woodland,Woodland
560,2020,Pil09_06,837284.9,838953.7,Shrubland,Shrubland
561,2020,Pil09_06,837315.2,838971.7,Shrubland,Shrubland
562,2020,Pil09_10,837559.7,839273.4,Shrubland,Shrubland
563,2020,Pil09_16,838133.1,839342.1,Shrubland,Shrubland
564,2020,Pil09_19,838667.3,839260.4,Shrubland,Shrubland
565,2020,Pil09_18,838579.9,839288.1,Grassland,Grassland
566,2020,Pil09_20,838892.9,839224,Shrubland,Shrubland
567,2020,Pil10_03,842669.7,830299.3,Shrubland,Shrubland
568,2020,Pil10_05,843049.3,830423.3,Shrubland,Shrubland
569,2020,Pil10_08,843461,830505.3,Woodland,Woodland
570,2020,Pil10_11,843654.1,830523.8,Grassland,Grassland
571,2020,Pil10_12,843990.1,830115,Grassland,Grassland
572,2020,Pil10_13,844058.3,829972,Grassland,Grassland
573,2020,Pil10_16,844020.4,829621,Grassland,Grassland
574,2020,Pil10_18,844203.3,829196.3,Grassland,Grassland
575,2020,Pil10_21,844060.7,828947.6,Shrubland,Shrubland
576,2020,Pil10_22,843924.8,828787.6,Woodland,Woodland
577,2020,Pil10_23,843896.3,828704.2,Woodland,Woodland
578,2020,Pil10_24,843806.6,828648,Woodland,Woodland
579,2020,Pil11_02,844228.1,827595.2,Shrubland,Shrubland
580,2020,Pil11_07,844019.8,827681.4,Shrubland,Shrubland
581,2020,Pil11_11,844034.8,827933.2,Grassland,Grassland
582,2020,Pil11_12,843991.1,827986.9,Woodland,Woodland
583,2020,Pil11_16,843881.9,828411.3,Woodland,Woodland
584,2020,Pil11_17,844089.8,828825.9,Grassland,Grassland
585,2020,Pil11_20,843686.5,828552.7,Woodland,Woodland
586,2020,Pil11_21,843592,828821.4,Woodland,Woodland
587,2020,Pil12_09,845868.7,832361.7,Woodland,Woodland
588,2020,Pil12_16,845496.2,831409.8,Woodland,Woodland
589,2020,Ref01_02,839454.5,842539.9,Artificial pond,Water
590,2020,Ref01_03,839583.1,842239.1,Marsh/ reed bed,Grassland
